"","Date","Value"
"187",2019-07-23,0.02462
"188",2019-07-22,0.02462
"189",2019-07-19,0.02462
"190",2019-07-18,0.02462
"191",2019-07-17,0.02462
"192",2019-07-16,0.02462
"193",2019-07-15,0.02462
"194",2019-07-12,0.02462
"195",2019-07-11,0.02462
"196",2019-07-10,0.02462
"197",2019-07-09,0.02462
"198",2019-07-08,0.02462
"199",2019-07-05,0.02462
"200",2019-07-04,0.02462
"201",2019-07-03,0.02462
"202",2019-07-02,0.02462
"203",2019-07-01,0.02462
"204",2019-06-28,0.02462
"205",2019-06-27,0.02462
"206",2019-06-26,0.02462
"207",2019-06-25,0.02462
"208",2019-06-24,0.02462
"209",2019-06-21,0.02462
"210",2019-06-19,0.02462
"211",2019-06-18,0.02462
"212",2019-06-17,0.02462
"213",2019-06-14,0.02462
"214",2019-06-13,0.02462
"215",2019-06-12,0.02462
"216",2019-06-11,0.02462
"217",2019-06-10,0.02462
"218",2019-06-07,0.02462
"219",2019-06-06,0.02462
"220",2019-06-05,0.02462
"221",2019-06-04,0.02462
"222",2019-06-03,0.02462
"223",2019-05-31,0.02462
"224",2019-05-30,0.02462
"225",2019-05-29,0.02462
"226",2019-05-28,0.02462
"227",2019-05-27,0.02462
"228",2019-05-24,0.02462
"229",2019-05-23,0.02462
"230",2019-05-22,0.02462
"231",2019-05-21,0.02462
"232",2019-05-20,0.02462
"233",2019-05-17,0.02462
"234",2019-05-16,0.02462
"235",2019-05-15,0.02462
"236",2019-05-14,0.02462
"237",2019-05-13,0.02462
"238",2019-05-10,0.02462
"239",2019-05-09,0.02462
"240",2019-05-08,0.02462
"241",2019-05-07,0.02462
"242",2019-05-06,0.02462
"243",2019-05-03,0.02462
"244",2019-05-02,0.02462
"245",2019-04-30,0.02462
"246",2019-04-29,0.02462
"247",2019-04-26,0.02462
"248",2019-04-25,0.02462
"249",2019-04-24,0.02462
"250",2019-04-23,0.02462
"251",2019-04-22,0.02462
"252",2019-04-18,0.02462
"253",2019-04-17,0.02462
"254",2019-04-16,0.02462
"255",2019-04-15,0.02462
"256",2019-04-12,0.02462
"257",2019-04-11,0.02462
"258",2019-04-10,0.02462
"259",2019-04-09,0.02462
"260",2019-04-08,0.02462
"261",2019-04-05,0.02462
"262",2019-04-04,0.02462
"263",2019-04-03,0.02462
"264",2019-04-02,0.02462
"265",2019-04-01,0.02462
"266",2019-03-29,0.02462
"267",2019-03-28,0.02462
