"","Date","Value"
"246",2018-10-01,78623
"247",2018-09-28,79342
"248",2018-09-27,80000
"249",2018-09-26,78656
"250",2018-09-25,78630
"251",2018-09-24,77984
"252",2018-09-21,79444
"253",2018-09-20,78116
"254",2018-09-19,78168
"255",2018-09-18,78313
"256",2018-09-17,76788
"257",2018-09-14,75429
"258",2018-09-13,74686
"259",2018-09-12,75124
"260",2018-09-11,74656
"261",2018-09-10,76436
"262",2018-09-06,76416
"263",2018-09-05,75092
"264",2018-09-04,74711
"265",2018-09-03,76192
"266",2018-08-31,76677
"267",2018-08-30,76404
"268",2018-08-29,78388
"269",2018-08-28,77473
"270",2018-08-27,77929
"271",2018-08-24,76262
"272",2018-08-23,75633
"273",2018-08-22,76902
"274",2018-08-21,75180
"275",2018-08-20,76327
"276",2018-08-17,76028
"277",2018-08-16,76818
"278",2018-08-15,77077
"279",2018-08-14,78602
"280",2018-08-13,77496
"281",2018-08-10,76514
"282",2018-08-09,78767
"283",2018-08-08,79151
"284",2018-08-07,80346
"285",2018-08-06,81050
"286",2018-08-03,81434
"287",2018-08-02,79636
"288",2018-08-01,79301
"289",2018-07-31,79220
"290",2018-07-30,80275
"291",2018-07-27,79866
"292",2018-07-26,79405
"293",2018-07-25,80218
"294",2018-07-24,79154
"295",2018-07-23,77996
"296",2018-07-20,78571
"297",2018-07-19,77486
"298",2018-07-18,77362
"299",2018-07-17,78130
"300",2018-07-16,76652
"301",2018-07-13,76594
"302",2018-07-12,75856
"303",2018-07-11,74398
"304",2018-07-10,74862
"305",2018-07-06,75010
"306",2018-07-05,74553
"307",2018-07-04,74743
"308",2018-07-03,73667
"309",2018-07-02,72839
"310",2018-06-29,72762
"311",2018-06-28,71766
"312",2018-06-27,70609
"313",2018-06-26,71404
"314",2018-06-25,70952
"315",2018-06-22,70640
"316",2018-06-21,70074
"317",2018-06-20,72123
"318",2018-06-19,71394
"319",2018-06-18,69814
"320",2018-06-15,70757
"321",2018-06-14,71421
"322",2018-06-13,72122
"323",2018-06-12,72754
"324",2018-06-11,72307
"325",2018-06-08,72942
"326",2018-06-07,73851
"327",2018-06-06,76117
"328",2018-06-05,76641
"329",2018-06-04,78596
"330",2018-06-01,77239
"331",2018-05-30,76753
"332",2018-05-29,76071
"333",2018-05-28,75355
"334",2018-05-25,78897
"335",2018-05-24,80122
"336",2018-05-23,80867
"337",2018-05-22,82738
"338",2018-05-21,81815
"339",2018-05-18,83081
"340",2018-05-17,83621
"341",2018-05-16,86536
"342",2018-05-15,85130
"343",2018-05-14,85232
"344",2018-05-11,85220
"345",2018-05-10,85861
"346",2018-05-09,84265
"347",2018-05-08,82956
"348",2018-05-07,82714
"349",2018-05-04,83118
"350",2018-05-03,83288
"351",2018-05-02,84547
"352",2018-04-30,86115
"353",2018-04-27,86444
"354",2018-04-26,86383
"355",2018-04-25,85044
"356",2018-04-24,85469
"357",2018-04-23,85602
"358",2018-04-20,85550
"359",2018-04-19,85824
"360",2018-04-18,85776
"361",2018-04-17,84086
"362",2018-04-16,82861
"363",2018-04-13,84334
"364",2018-04-12,85443
"365",2018-04-11,85245
"366",2018-04-10,84510
"367",2018-04-09,83307
"368",2018-04-06,84820
"369",2018-04-05,85209
"370",2018-04-04,84359
"371",2018-04-03,84623
"372",2018-04-02,84666
"373",2018-03-29,85365
"374",2018-03-28,83874
"375",2018-03-27,83808
"376",2018-03-26,85087
"377",2018-03-23,84377
"378",2018-03-22,84767
"379",2018-03-21,84976
"380",2018-03-20,84163
"381",2018-03-19,83913
"382",2018-03-16,84886
"383",2018-03-15,84928
"384",2018-03-14,86050
"385",2018-03-13,86383
"386",2018-03-12,86900
"387",2018-03-09,86371
"388",2018-03-08,84984
"389",2018-03-07,85483
"390",2018-03-06,85653
"391",2018-03-05,86022
"392",2018-03-02,85761
"393",2018-03-01,85377
"394",2018-02-28,85353
"395",2018-02-27,86935
"396",2018-02-26,87652
"397",2018-02-23,87293
"398",2018-02-22,86686
"399",2018-02-21,86051
"400",2018-02-20,85803
"401",2018-02-19,84792
"402",2018-02-16,84524
"403",2018-02-15,84290
"404",2018-02-14,83542
"405",2018-02-09,80898
"406",2018-02-08,81532
"407",2018-02-07,82766
"408",2018-02-06,83894
"409",2018-02-05,81861
"410",2018-02-02,84041
"411",2018-02-01,85495
"412",2018-01-31,84912
"413",2018-01-30,84482
"414",2018-01-29,84698
"415",2018-01-26,85530
"416",2018-01-24,83679
"417",2018-01-23,80678
"418",2018-01-22,81675
"419",2018-01-19,81219
"420",2018-01-18,80962
"421",2018-01-17,81189
"422",2018-01-16,79831
"423",2018-01-15,79752
"424",2018-01-12,79349
"425",2018-01-11,79365
"426",2018-01-10,78200
"427",2018-01-09,78863
"428",2018-01-08,79378
"429",2018-01-05,79071
"430",2018-01-04,78647
"431",2018-01-03,77995
"432",2018-01-02,77891
"433",2017-12-28,76402
"434",2017-12-27,76072
"435",2017-12-26,75707
"436",2017-12-22,75186
"437",2017-12-21,75133
"438",2017-12-20,73367
"439",2017-12-19,72680
"440",2017-12-18,73115
